Epoch 32,"4008025/4008025 [==============================],33s,8us/step,loss: 0.0063,binary_accuracy: 0.9980,val_loss: 0.0062,val_binary_accuracy: 0.9980",
Epoch 33,"4008025/4008025 [==============================],34s,8us/step,loss: 0.0063,binary_accuracy: 0.9980,val_loss: 0.0059,val_binary_accuracy: 0.9980",
Epoch 34,"4008025/4008025 [==============================],33s,8us/step,loss: 0.0063,binary_accuracy: 0.9980,val_loss: 0.0061,val_binary_accuracy: 0.9980",
Epoch 35,"4008025/4008025 [==============================],33s,8us/step,loss: 0.0063,binary_accuracy: 0.9980,val_loss: 0.0063,val_binary_accuracy: 0.9980",
Epoch 36,"4008025/4008025 [==============================],33s,8us/step,loss: 0.0064,binary_accuracy: 0.9980,val_loss: 0.0061,val_binary_accuracy: 0.9980",
Epoch 37,"4008025/4008025 [==============================],33s,8us/step,loss: 0.0064,binary_accuracy: 0.9980,val_loss: 0.0062,val_binary_accuracy: 0.9980",
Epoch 38,"4008025/4008025 [==============================],33s,8us/step,loss: 0.0063,binary_accuracy: 0.9980,val_loss: 0.0067,val_binary_accuracy: 0.9980",
Epoch 39,"4008025/4008025 [==============================],33s,8us/step,loss: 0.0063,binary_accuracy: 0.9980,val_loss: 0.0061,val_binary_accuracy: 0.9980",
Epoch 40,"4008025/4008025 [==============================],33s,8us/step,loss: 0.0064,binary_accuracy: 0.9980,val_loss: 0.0064,val_binary_accuracy: 0.9980",
Epoch 41,"4008025/4008025 [==============================],33s,8us/step,loss: 0.0064,binary_accuracy: 0.9979,val_loss: 0.0063,val_binary_accuracy: 0.9980",
Epoch 42,"4008025/4008025 [==============================],33s,8us/step,loss: 0.0064,binary_accuracy: 0.9980,val_loss: 0.0062,val_binary_accuracy: 0.9981",
Epoch 43,"4008025/4008025 [==============================],34s,8us/step,loss: 0.0063,binary_accuracy: 0.9979,val_loss: 0.0064,val_binary_accuracy: 0.9980",
Epoch 44,"4008025/4008025 [==============================],32s,8us/step,loss: 0.0063,binary_accuracy: 0.9979,val_loss: 0.0059,val_binary_accuracy: 0.9981",
Epoch 45,"4008025/4008025 [==============================],33s,8us/step,loss: 0.0063,binary_accuracy: 0.9979,val_loss: 0.0057,val_binary_accuracy: 0.9980",
Epoch 46,"4008025/4008025 [==============================],33s,8us/step,loss: 0.0061,binary_accuracy: 0.9980,val_loss: 0.0060,val_binary_accuracy: 0.9980",
Epoch 47,"4008025/4008025 [==============================],32s,8us/step,loss: 0.0061,binary_accuracy: 0.9980,val_loss: 0.0060,val_binary_accuracy: 0.9980",
Epoch 48,"4008025/4008025 [==============================],32s,8us/step,loss: 0.0062,binary_accuracy: 0.9980,val_loss: 0.0064,val_binary_accuracy: 0.9980",
Epoch 49,"4008025/4008025 [==============================],32s,8us/step,loss: 0.0064,binary_accuracy: 0.9980,val_loss: 0.0064,val_binary_accuracy: 0.9980",
Epoch 50,"4008025/4008025 [==============================],33s,8us/step,loss: 0.0064,binary_accuracy: 0.9980,val_loss: 0.0065,val_binary_accuracy: 0.9980",
Epoch 51,"4008025/4008025 [==============================],33s,8us/step,loss: 0.0064,binary_accuracy: 0.9980,val_loss: 0.0062,val_binary_accuracy: 0.9980",
Epoch 52,"4008025/4008025 [==============================],33s,8us/step,loss: 0.0064,binary_accuracy: 0.9980,val_loss: 0.0062,val_binary_accuracy: 0.9980",
Epoch 53,"4008025/4008025 [==============================],33s,8us/step,loss: 0.0063,binary_accuracy: 0.9980,val_loss: 0.0072,val_binary_accuracy: 0.9980",
Epoch 54,"4008025/4008025 [==============================],32s,8us/step,loss: 0.0063,binary_accuracy: 0.9980,val_loss: 0.0060,val_binary_accuracy: 0.9980",
Epoch 55,"4008025/4008025 [==============================],35s,9us/step,loss: 0.0063,binary_accuracy: 0.9980,val_loss: 0.0066,val_binary_accuracy: 0.9980",
Epoch 56,"4008025/4008025 [==============================],33s,8us/step,loss: 0.0064,binary_accuracy: 0.9980,val_loss: 0.0063,val_binary_accuracy: 0.9980",
Epoch 57,"4008025/4008025 [==============================],34s,8us/step,loss: 0.0064,binary_accuracy: 0.9980,val_loss: 0.0068,val_binary_accuracy: 0.9980",
Epoch 58,"4008025/4008025 [==============================],33s,8us/step,loss: 0.0064,binary_accuracy: 0.9980,val_loss: 0.0060,val_binary_accuracy: 0.9980",
Epoch 59,"4008025/4008025 [==============================],33s,8us/step,loss: 0.0063,binary_accuracy: 0.9980,val_loss: 0.0061,val_binary_accuracy: 0.9980",
Epoch 60,"4008025/4008025 [==============================],32s,8us/step,loss: 0.0063,binary_accuracy: 0.9980,val_loss: 0.0065,val_binary_accuracy: 0.9980",
